,number,ca,name,material,location,culture,time,img
61,262,4,"Illustration from The Results of the Five year Plan, Vavara Stepanova",photomontage,Soviet Union,Constructivist,1932 CE,https://smarthistory.org/wp-content/uploads/2022/01/fiveyearplan-e1641571424106.jpg
62,263,0,"Migrant Mother, Lange",gelatin silver print,United States,,1935 CE,https://www-tc.pbs.org/prod-media/antiques-roadshow/article/images/201307F03-KC-MigrantMother-Photo-Portrait.jpg
63,264,4,"Object, Meret Oppenheim","fur-covered cup, saucer, and spoon",France,French Surrealism,1936 CE,https://www.moma.org/learn/moma_learning/_assets/www.moma.org/wp/moma_learning/wp-content/uploads/2012/06/Meret-Oppenheim.-Object-469x311.jpg
64,265,4,"Fallingwater, Frank Lloyd Wright","reinforced concrete, sandstone, steel and glass","Pennsylvania, United States",Amerian Modern Architect,1936 CE,https://franklloydwright.org/wp-content/uploads/2017/02/fallingwater.jpg
65,266,0,"Guernica, Picasso",oil on canvas,France,Spanish Cubism,1937 CE,https://upload.wikimedia.org/wikipedia/en/7/74/PicassoGuernica.jpg
66,267,4,"The Two Fridas, Frida Kahlo",oil on canvas,Mexico,Spanish Surrealism,1939 CE,https://upload.wikimedia.org/wikipedia/en/f/f9/The_Two_Fridas.jpg
67,268,4,"The Migration of the Negro, panel 49, Jacob Lawrence",casein tempera on hardboard,United States,Harlem Renaissance,1940 CE,http://www.moma.org/interactives/exhibitions/2015/onewayticket/site/assets/2014/10/49-684x1024.jpg
68,269,4,"The Jungle, Wifredo Lam",goache on paper mounted on canvas,Cuba,Afro-Cuban ,1943 CE,https://www.moma.org/media/W1siZiIsIjMzMDQ5NCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MjAwMFx1MDAzZSJdXQ.jpg?sha=6f4bde3e8bc73c5e
69,270,4,"Dream of  a Sunday Afternoon in the Alameda Park, Diego Rivera",fresco,Mexico,Mexican muralist,1947 CE,https://sothebys-com.brightspotcdn.com/15/a8/45283d7d46ac8f62e6deaa8bc39a/1920-18.jpg
70,271,5,"Black-on-black ceramic vessel, Maria Martinez and Julian Martinez",blackware ceramic," San Ildefonso Pueblo, New Mexico",Puebloan,1950 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1540492661983/v-indigenous-americas/166-black-on-black-ceramic-vessel-maria-martnez-and-julian-martnez/45a5dd6eb4bf781b61a9dedb0c18cc77a04817f8.png?height=264&width=320
71,272,4,"Woman, I, Willem de Kooning",oil on canvas,United States,Abstract Expressionism,1950 CE,https://www.moma.org/media/W1siZiIsIjQ3NjYxNyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=c43a2811cf20a776
72,273,0,"Number 1, Lavender Mist, Pollock","oil, enamel, and aluminum paint on canvas",United States,American Abstract Expressionism,1950 CE,"https://media.nga.gov/iiif/accfaa20-6bb3-4c02-9f35-ffbf1fcd1584/full/!588,600/0/default.jpg"
73,274,9,Presentation of Fijian mats and tapa cloths to Queen Elizabeth II,photographic documentation,"Fiji, Polynesia",Pacific,1953 CE,https://cdn.kastatic.org/ka-perseus-images/1927d7d4a5da4aeb16f8efab68e38e7bdc3fb776.jpg
74,275,4,"Seagram Building, Ludwig Mies van der Rohe and Philip Johnson",steel frame with glass curtain wall and bronze,"New York City, United States",International style,1954 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1491223593754/iv-later-europe-and-americas/146-seagram-building-ludwig-mies-van-der-rohe-philip-johnson/seagram_building1336060339278.jpg?height=400&width=294
75,276,0,"Campbells Soup Can, Warhol","oil, acrylic, and silkscreen enamel on canvas",United States,American Pop Art,1962 CE,https://www.moma.org/media/W1siZiIsIjMxODI0MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=f1e923ce509ba9e6
76,277,4,"Marilyn Diptych, Andy Warhol","oil, acrylic, and silkscreen enamel on canvas",United States,American Pop Art,1962 CE,https://smarthistory.org/wp-content/uploads/2022/02/MarilynDip-scaled.jpg
77,278,4,"The Bay, Helen Frankenthaler",acrylic on canvas,United States,American Abstract Expressionism,1963 CE,https://cdn.kastatic.org/ka-perseus-images/b85bfabaf30bc82c107645ebc2044c9a572f3b5e.jpg
78,279,4,"Narcissus Garden, Yayoi Kusama",mirror balls,United States,,1966 CE,https://dazedimg-dazedgroup.netdna-ssl.com/2298/azure/dazed-prod/1240/3/1243188.jpg
79,280,8,Chairman Mao en Route to Anyuan,color lithograph,China,Chinese Social Realism,1969 CE,https://cdn.kastatic.org/ka-perseus-images/daa132294f8dc80369b6ab5837d426b3636331c3.jpg
80,281,4,"Lipstick (Ascending) on Caterpillar Tracks, Claes Oldenburg","Cor-Ten steel, steel, aluminum, and cast resin; painted with polyurethane enamel",United States,American Pop Art,1969 CE,https://upload.wikimedia.org/wikipedia/en/7/79/Lipstick-catepillar.jpg
81,282,4,"Spiral Jetty, Robert Smithson","earthwork: mud, precipated salt crystals, rocks and water coil","Great Salt Lake, Utah, United States",Earth Art,1970 CE,https://www.diaart.org/media/w1050h700/object/smi-spiraljetty-steinmetz.jpg
82,283,4,"House in New Castle County, Robert Venturi",wood frame and stucco,"Delaware, United States",American Post-Modern architecture,1978 CE,https://cdn.kastatic.org/ka-perseus-images/8c60a39b2712752be14134fcb1b43367b9aa4a15.jpg
83,284,0,"The Dinner Party, Chicago","porcelain, fiber, mixed media installation",United States,American Feminist ,1979 CE,https://d1lfxha3ugu3d4.cloudfront.net/assets/system-images/remote/https_d1lfxha3ugu3d4.cloudfront.net/exhibitions/images/2019_The_Dinner_Party_2002.10_DWoodman_2018_DSC01916_4000w.jpg
84,285,10,"The Gates, Christo and Jeanne-Claude",mixed-media installation,"New York City, United States",Environmental Art,1979 CE,https://cdn.kastatic.org/ka-perseus-images/0e3cc6b01d42a95277ab7bdc0e554c1dcd8f04e7.jpg
